state,x,y
Andhra Pradesh,-67.0,-181.0
Arunachal Pradesh,269.0,128.0
Assam,233.0,76.0
Bihar,77.0,63.0
Chhattisgarh,-12.0,-38.0
Goa,-190.0,-191.0
Gujarat,-246.0,1.0
Haryana,-141.0,149.0
Himachal Pradesh,-118.0,222.0
Jharkhand,64.0,9.0
Karnataka,-157.0,-200.0
Kerala,-141.0,-288.0
Madhya Pradesh,-99.0,-3.0
Maharashtra,-166.0,-99.0
Manipur,257.0,36.0
Meghalaya,200.0,57.0
Mizoram,234.0,2.0
Nagaland,270.0,71.0
Odisha,50.0,-50.0
Punjab,-155.0,201.0
Rajasthan,-194.0,90.0
Sikkim,134.0,111.0
Tamil Nadu,-90.0,-275.0
Telangana,-75.0,-127.0
Tripura,206.0,9.0
Uttar Pradesh,-49.0,97.0
Uttarakhand,-73.0,174.0
West Bengal,123.0,5.0
